iter	Passed	Remaining
0	137	137463
1	139	69755
2	141	47161
3	143	35819
4	145	29049
5	147	24451
6	149	21181
7	151	18783
8	153	16867
9	155	15377
10	157	14136
11	159	13097
12	161	12256
13	163	11520
14	165	10871
15	167	10273
16	168	9761
17	170	9323
18	173	8945
19	175	8578
20	177	8267
21	179	7978
22	181	7716
23	183	7466
24	185	7242
25	187	7025
26	189	6820
27	191	6635
28	193	6471
29	195	6316
30	197	6172
31	199	6023
32	201	5908
33	203	5787
34	205	5657
35	206	5542
36	208	5424
37	209	5314
38	211	5218
39	213	5122
40	215	5033
41	217	4953
42	218	4868
43	220	4784
44	221	4706
45	223	4630
46	224	4555
47	226	4484
48	227	4418
49	228	4349
50	230	4282
51	231	4225
52	233	4164
53	234	4106
54	235	4050
55	237	3996
56	238	3945
57	239	3894
58	241	3847
59	242	3799
60	244	3757
61	245	3718
62	247	3676
63	248	3633
64	249	3593
65	251	3555
66	252	3519
67	254	3482
68	255	3448
69	256	3412
70	258	3379
71	259	3347
72	261	3316
73	262	3283
74	263	3251
75	264	3219
76	266	3188
77	267	3162
78	268	3134
79	270	3108
80	271	3083
81	273	3061
82	274	3030
83	275	3006
84	276	2980
85	277	2953
86	278	2927
87	280	2906
88	281	2884
89	283	2861
90	284	2840
91	285	2818
92	287	2804
93	288	2784
94	289	2762
95	291	2741
96	292	2721
97	293	2700
98	294	2679
99	295	2659
100	296	2640
101	297	2621
102	298	2602
103	299	2581
104	300	2562
105	301	2543
106	302	2525
107	303	2507
108	304	2488
109	305	2470
110	306	2452
111	307	2434
112	307	2417
113	309	2401
114	309	2384
115	310	2368
116	311	2350
117	312	2335
118	313	2319
119	314	2302
120	314	2286
121	315	2270
122	316	2255
123	317	2240
124	318	2227
125	319	2213
126	319	2197
127	320	2183
128	321	2172
129	322	2160
130	323	2146
131	324	2134
132	325	2121
133	326	2109
134	327	2097
135	328	2087
136	329	2076
137	330	2065
138	332	2056
139	333	2047
140	334	2036
141	335	2024
142	336	2014
143	337	2004
144	338	1995
145	339	1985
146	340	1975
147	341	1965
148	342	1956
149	343	1946
150	344	1938
151	345	1927
152	346	1918
153	347	1909
154	348	1900
155	349	1891
156	350	1881
157	351	1871
158	352	1862
159	352	1853
160	353	1842
161	354	1832
162	355	1823
