iter	Passed	Remaining
0	3	3321
1	5	2985
2	8	2831
3	10	2634
4	13	2733
5	16	2692
6	19	2709
7	21	2674
8	23	2580
9	25	2538
10	28	2540
11	29	2469
12	32	2457
13	34	2432
14	36	2401
15	38	2395
16	41	2385
17	43	2369
18	45	2344
19	47	2328
20	49	2309
21	52	2331
22	54	2319
23	56	2306
24	59	2315
25	60	2281
26	62	2270
27	65	2268
28	67	2249
29	69	2239
30	71	2224
31	73	2213
32	75	2221
33	77	2210
34	79	2182
35	80	2163
36	82	2158
37	84	2141
38	86	2120
39	87	2106
40	89	2101
41	91	2088
42	93	2072
43	94	2058
44	96	2043
45	97	2025
46	99	2009
47	100	1998
48	102	1983
49	103	1965
50	104	1950
51	106	1938
52	107	1922
53	108	1904
54	109	1885
55	110	1869
56	112	1859
57	113	1842
58	114	1832
59	116	1820
60	117	1806
61	118	1793
62	119	1783
63	120	1769
64	122	1756
65	123	1743
66	124	1734
67	125	1724
68	127	1713
69	128	1701
70	129	1693
71	130	1682
72	131	1674
73	133	1666
74	134	1656
75	135	1648
76	136	1637
77	137	1629
78	138	1620
79	140	1610
80	141	1602
81	142	1593
82	142	1579
83	144	1571
84	145	1561
85	146	1553
86	147	1544
87	148	1535
88	149	1527
89	150	1517
90	151	1511
91	152	1504
92	153	1495
93	154	1489
94	155	1480
95	156	1472
96	157	1464
97	158	1455
98	159	1447
99	159	1439
100	160	1431
101	161	1422
102	162	1414
103	163	1407
104	164	1399
105	165	1392
106	165	1384
107	166	1377
108	167	1371
109	168	1366
110	169	1361
111	171	1356
112	172	1350
113	172	1343
114	174	1339
115	174	1332
116	175	1325
117	176	1319
118	177	1313
119	178	1307
120	179	1302
121	180	1295
122	180	1289
123	181	1284
124	182	1278
125	183	1272
126	184	1266
127	185	1262
128	186	1258
129	187	1252
130	187	1247
131	188	1240
132	189	1235
133	190	1230
134	191	1225
135	192	1221
136	193	1216
137	193	1211
138	194	1207
139	195	1202
140	196	1198
141	197	1193
142	198	1190
143	199	1186
144	200	1182
145	201	1178
146	202	1174
147	203	1170
148	204	1167
149	205	1163
150	206	1159
151	207	1157
152	208	1153
153	209	1149
154	210	1146
155	211	1144
156	212	1140
157	213	1136
158	214	1133
159	215	1129
160	215	1124
161	216	1121
162	217	1117
163	218	1113
164	219	1112
165	220	1109
166	221	1105
167	222	1102
168	223	1098
169	224	1095
170	225	1092
171	226	1088
172	227	1085
173	228	1082
174	228	1079
175	229	1075
176	230	1071
177	231	1068
178	232	1064
179	232	1060
180	233	1057
181	234	1054
182	235	1051
183	236	1048
184	237	1044
185	238	1042
186	239	1041
187	240	1039
188	241	1035
189	242	1033
190	243	1030
191	244	1027
192	245	1024
193	246	1022
194	247	1020
195	247	1016
196	248	1014
197	249	1011
198	250	1008
199	251	1005
200	252	1002
201	253	999
202	254	997
203	254	994
204	255	991
205	256	988
206	257	984
207	257	982
208	258	979
209	259	977
210	260	975
211	261	972
212	262	969
213	263	967
214	264	965
215	265	962
216	266	959
217	266	957
218	267	954
219	268	951
220	269	949
221	270	946
222	271	944
223	271	941
224	272	939
225	273	936
226	274	933
227	275	931
228	275	928
229	276	925
230	277	923
231	278	920
232	279	918
233	279	915
234	280	912
235	281	910
236	282	909
237	283	907
238	284	904
239	285	902
240	285	899
241	286	896
242	287	894
243	288	892
244	288	890
245	289	888
246	290	885
247	291	882
248	291	880
249	292	877
250	293	875
251	294	873
252	295	871
253	295	869
254	296	866
255	297	864
256	298	861
257	298	859
258	299	856
259	300	854
260	301	852
261	301	850
262	302	848
263	303	846
264	304	843
265	304	841
266	305	839
267	306	836
268	307	834
269	308	832
270	308	830
271	309	829
272	310	826
273	311	824
274	311	822
275	312	820
276	313	818
277	314	816
278	315	814
279	316	812
280	316	810
281	317	808
282	318	806
283	319	804
284	319	802
285	320	801
286	321	799
287	322	796
288	323	794
289	323	792
290	324	790
291	325	788
292	326	787
293	327	785
294	327	783
295	328	781
296	329	779
297	329	777
298	330	775
299	331	773
300	332	771
301	333	769
302	333	767
303	334	765
304	335	763
305	335	761
306	336	760
307	337	758
308	338	756
309	339	754
310	339	752
311	340	751
312	341	749
313	342	747
314	342	745
315	343	743
316	344	741
317	345	740
318	345	738
319	346	736
320	347	735
321	348	733
322	348	731
323	349	729
324	351	729
325	352	728
326	353	727
327	354	725
328	355	725
329	356	723
330	357	722
331	358	720
332	358	719
333	359	717
334	360	715
335	361	713
336	361	711
337	362	710
338	363	708
339	364	707
340	365	705
341	365	704
342	366	702
343	367	700
344	368	699
345	369	697
346	369	696
347	370	694
348	371	692
349	372	690
350	372	689
351	373	687
352	374	686
353	375	684
354	376	683
355	377	681
356	378	680
357	379	679
358	379	678
359	380	676
360	381	675
361	382	673
362	383	672
363	384	671
364	384	669
365	385	667
366	386	666
367	386	664
368	387	663
369	388	661
370	389	660
371	390	658
372	390	657
373	391	655
374	392	654
375	393	652
376	394	651
377	394	649
378	395	648
379	396	646
380	397	645
381	397	643
382	398	641
383	399	640
384	400	639
385	401	638
386	402	637
387	403	635
388	403	634
389	404	632
390	405	631
391	406	629
392	407	628
393	407	627
394	408	625
395	409	624
396	410	622
397	410	621
398	411	619
399	412	618
400	413	617
401	413	615
402	414	614
403	415	612
404	416	611
405	416	609
406	417	608
407	418	606
408	418	605
409	419	603
410	420	602
411	421	600
412	421	599
413	422	597
414	423	596
415	423	594
416	424	593
417	425	592
418	426	590
419	426	589
420	427	588
421	428	586
422	429	585
423	429	583
424	430	582
425	431	581
426	432	580
427	433	579
428	434	577
429	434	576
430	435	574
431	436	573
432	437	572
433	438	571
434	439	570
435	439	568
436	440	567
437	441	566
438	441	564
439	442	563
440	443	561
441	443	560
442	444	559
443	445	557
444	445	556
445	446	554
446	447	553
447	448	552
448	448	550
449	449	549
450	450	548
451	451	547
452	452	546
453	452	544
454	453	543
455	454	542
456	455	541
457	456	539
458	456	538
459	457	537
460	458	535
461	458	534
462	459	533
463	460	531
464	460	530
465	461	529
466	462	528
467	463	527
468	480	544
469	481	543
470	482	542
471	484	541
472	485	541
473	487	540
474	488	539
475	489	538
476	490	537
477	491	536
478	492	535
479	494	535
480	495	534
481	496	533
482	497	532
483	498	531
484	500	530
485	501	530
486	502	529
487	503	528
488	504	527
489	505	526
490	506	525
491	507	524
492	509	523
493	510	523
494	511	522
495	512	520
496	513	519
497	514	518
498	515	517
499	516	516
500	517	515
501	518	514
502	519	512
503	520	511
504	521	510
505	522	510
506	523	508
507	524	507
508	525	506
509	526	505
510	528	505
511	529	504
512	530	503
513	531	502
514	532	501
515	532	499
516	533	498
517	534	497
518	535	496
519	536	495
520	537	494
521	538	493
522	539	492
523	541	491
524	542	490
525	543	490
526	544	488
527	545	487
528	546	486
529	547	485
530	548	484
531	549	483
532	550	482
533	551	481
534	552	480
535	553	479
536	554	478
537	555	477
538	556	476
539	557	475
540	559	474
541	560	473
542	561	472
543	562	471
544	563	470
545	564	469
546	565	468
547	566	467
548	567	466
549	568	465
550	569	464
551	570	462
552	571	461
553	572	460
554	573	459
555	574	458
556	575	457
557	576	456
558	577	455
559	578	454
560	579	453
561	580	452
562	581	451
563	582	450
564	583	449
565	584	448
566	585	447
567	586	446
568	587	445
569	588	444
570	589	443
571	590	442
572	591	440
573	592	439
574	593	438
575	594	437
576	595	436
577	596	435
578	597	434
579	598	433
580	599	432
581	600	431
582	601	430
583	602	429
584	603	428
585	604	427
586	605	425
587	606	425
588	608	424
589	609	423
590	610	422
591	611	421
592	612	420
593	613	419
594	614	418
595	615	417
596	616	416
597	617	415
598	618	414
599	619	413
600	620	412
601	621	411
602	622	410
603	623	409
604	624	408
605	626	407
606	627	406
607	628	405
608	629	404
609	630	403
610	632	402
611	633	401
612	634	400
613	635	399
614	636	398
615	637	397
616	639	396
617	640	396
618	641	395
619	643	394
620	644	393
621	645	392
622	646	391
623	647	390
624	648	389
625	649	388
626	650	387
627	652	386
628	653	385
629	654	384
630	655	383
631	657	382
632	658	381
633	659	380
634	660	379
635	662	378
636	663	378
637	664	377
638	665	376
639	666	375
640	667	374
641	668	373
642	670	372
643	671	371
644	672	369
645	673	368
646	674	367
647	674	366
648	675	365
649	677	364
650	678	363
651	679	362
652	680	361
653	682	360
654	683	360
655	685	359
656	686	358
657	687	357
658	688	356
659	689	355
660	691	354
661	692	353
662	693	352
663	695	351
664	696	350
665	697	349
666	698	348
667	699	347
668	701	346
669	702	345
670	703	344
671	704	343
672	705	342
673	707	342
674	708	341
675	709	340
676	711	339
677	712	338
678	713	337
679	714	336
680	715	335
681	716	334
682	717	333
683	718	332
684	719	330
685	720	330
686	722	329
687	723	328
688	725	327
689	726	326
690	727	325
691	728	324
692	729	323
693	731	322
694	732	321
695	733	320
696	734	319
697	736	318
698	737	317
699	738	316
700	739	315
701	740	314
702	741	313
703	742	312
704	744	311
705	745	310
706	746	309
707	747	308
708	748	307
709	749	306
710	750	305
711	751	303
712	752	302
713	753	301
714	754	300
715	755	299
716	756	298
717	757	297
718	758	296
719	759	295
720	760	294
721	761	293
722	762	292
723	763	291
724	764	290
725	766	289
726	767	288
727	768	286
728	769	285
729	770	284
730	771	283
731	774	283
732	775	282
733	776	281
734	778	280
735	779	279
736	780	278
737	781	277
738	782	276
739	784	275
740	785	274
741	786	273
742	787	272
743	788	271
744	790	270
745	791	269
746	792	268
747	794	267
748	795	266
749	796	265
750	797	264
751	798	263
752	800	262
753	800	261
754	802	260
755	803	259
756	804	258
757	805	257
758	806	256
759	807	255
760	808	254
761	809	252
762	810	251
763	811	250
764	812	249
765	813	248
766	814	247
767	815	246
768	816	245
769	817	244
770	818	242
771	819	241
772	819	240
773	820	239
774	821	238
775	822	237
776	823	236
777	824	235
778	825	234
779	826	233
780	828	232
781	829	231
782	830	230
783	831	229
784	832	227
785	833	226
786	835	226
787	836	224
788	836	223
789	838	222
790	839	221
791	840	220
792	841	219
793	842	218
794	843	217
795	844	216
796	845	215
797	846	214
798	847	213
799	849	212
800	850	211
801	851	210
802	852	209
803	853	208
804	855	207
805	856	206
806	857	205
807	858	204
808	859	202
809	860	201
810	862	200
811	863	199
812	865	198
813	866	197
814	867	196
815	868	195
816	869	194
817	870	193
818	871	192
819	872	191
820	873	190
821	875	189
822	876	188
823	877	187
824	878	186
825	879	185
826	880	184
827	881	183
828	882	182
829	883	181
830	884	179
831	885	178
832	887	177
833	888	176
834	889	175
835	890	174
836	891	173
837	892	172
838	893	171
839	895	170
840	896	169
841	897	168
842	898	167
843	899	166
844	900	165
845	901	164
846	902	163
847	903	161
848	904	160
849	905	159
850	906	158
851	907	157
852	908	156
853	909	155
854	910	154
855	912	153
856	913	152
857	914	151
858	915	150
859	916	149
860	917	148
861	919	147
862	920	146
863	920	144
864	921	143
865	922	142
866	923	141
867	925	140
868	926	139
869	927	138
870	928	137
871	929	136
872	931	135
873	932	134
874	933	133
875	934	132
876	935	131
877	937	130
878	938	129
879	939	128
880	940	127
881	942	126
882	943	125
883	944	123
884	945	122
885	946	121
886	947	120
887	949	119
888	950	118
889	951	117
890	952	116
891	953	115
892	954	114
893	955	113
894	956	112
895	957	111
896	958	110
897	959	109
898	960	107
899	962	106
900	962	105
901	963	104
902	964	103
903	965	102
904	967	101
905	967	100
906	968	99
907	970	98
908	970	97
909	971	96
910	972	95
911	974	93
912	974	92
913	975	91
914	976	90
915	977	89
916	978	88
917	979	87
918	980	86
919	981	85
920	982	84
921	983	83
922	984	82
923	985	81
924	986	80
925	987	78
926	988	77
927	989	76
928	990	75
929	991	74
930	992	73
931	993	72
932	994	71
933	995	70
934	996	69
935	997	68
936	998	67
937	999	66
938	1000	64
939	1001	63
940	1002	62
941	1003	61
942	1004	60
943	1005	59
944	1006	58
945	1007	57
946	1008	56
947	1009	55
948	1009	54
949	1010	53
950	1011	52
951	1012	51
952	1013	49
953	1014	48
954	1015	47
955	1015	46
956	1016	45
957	1017	44
958	1018	43
959	1020	42
960	1020	41
961	1021	40
962	1022	39
963	1023	38
964	1024	37
965	1025	36
966	1026	35
967	1027	33
968	1028	32
969	1029	31
970	1030	30
971	1031	29
972	1032	28
973	1032	27
974	1033	26
975	1034	25
976	1035	24
977	1036	23
978	1037	22
979	1038	21
980	1039	20
981	1040	19
982	1041	18
983	1041	16
984	1042	15
985	1043	14
986	1045	13
987	1045	12
988	1046	11
989	1047	10
990	1048	9
991	1049	8
992	1050	7
993	1051	6
994	1052	5
995	1053	4
996	1054	3
997	1055	2
998	1056	1
999	1057	0
